Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Morocco,4.013,4.145,4.857,7.433,6.886,8.895,6.501,6.425,6.728,6.294,6.610,7.811,
Mozambique,1.824,2.097,4.210,2.420,4.786,4.787,8.239,8.330,10.800,13.082,11.270,
Myanmar,0.154,0.092,0.085,
Netherlands,130.765,122.143,106.368,123.653,209.314,213.582,210.974,199.749,189.241,180.989,175.441,169.659,
New-Zealand,48.553,47.519,39.730,35.606,34.695,35.452,29.669,34.176,29.518,33.695,30.169,29.292,
Nigeria,0.002,0.001,0.006,0.020,0.000,0.032,0.059,0.074,0.000,0.235,
Norway,48.043,50.948,54.270,57.952,59.506,59.076,56.698,58.273,63.973,57.876,58.782,
Pakistan,0.641,0.583,0.948,1.103,1.389,1.551,1.544,1.575,1.633,1.196,1.166,
Palestinian-Territory-Occupied,0.697,4.691,1.909,2.519,2.214,2.778,1.948,2.825,3.020,3.142,3.317,
Panama,82.388,76.391,77.550,77.297,81.007,74.769,61.814,57.815,52.821,62.485,58.998,
Paraguay,12.939,13.939,12.269,12.009,13.141,12.634,11.728,11.403,12.160,12.764,11.553,
Peru,3.715,4.477,3.405,3.274,3.723,3.919,3.890,4.094,3.387,4.746,4.208,3.770,
Philippines,5.145,6.281,5.956,5.462,4.927,4.559,4.346,4.633,4.567,3.928,3.829,4.111,
Poland,9.862,8.152,8.617,7.788,7.984,11.752,9.006,8.997,9.351,9.761,9.544,9.527,
Portugal,87.088,85.258,72.896,71.563,72.295,78.628,76.039,79.514,73.213,78.983,73.783,67.290,
Romania,16.451,15.005,15.392,14.241,14.526,14.705,15.516,15.311,15.819,15.084,16.178,15.724,
Russia,3.333,3.720,3.928,3.060,3.563,3.998,3.555,3.270,4.034,4.143,4.706,3.129,
Serbia,1.726,1.351,0.539,0.278,0.847,1.839,2.151,3.267,4.184,3.387,3.024,
Singapore,334.555,326.517,346.494,343.936,323.062,313.587,303.278,293.413,289.369,311.120,286.111,257.169,
Slovakia,41.490,29.305,25.071,27.857,26.970,35.983,49.466,57.252,52.869,58.297,75.844,54.776,
Slovenia,25.879,32.417,20.621,19.285,20.917,23.622,22.543,20.141,21.740,24.192,29.957,31.974,
South-Africa,4.481,6.410,6.793,8.932,8.391,9.196,8.620,9.097,8.885,8.233,6.487,8.410,
Spain,59.684,59.889,49.926,55.843,59.563,64.559,66.987,66.542,62.912,79.084,79.042,
Sri-Lanka,11.020,9.080,8.907,8.833,9.532,9.184,8.960,9.558,9.418,9.747,9.589,11.468,
Sudan,7.871,8.165,7.657,6.475,5.328,4.770,4.696,10.198,12.978,7.087,14.112,
Sweden,59.194,57.127,58.007,64.547,56.092,55.726,59.919,56.326,54.095,54.782,53.993,62.187,
Switzerland,132.408,140.577,143.146,142.258,151.046,157.135,156.175,141.098,139.403,157.627,160.405,143.282,
Taiwan,22.271,23.510,30.341,30.506,27.092,29.471,28.648,29.309,28.572,26.044,25.446,24.497,
Tajikistan,11.207,13.088,13.280,12.600,12.228,11.706,13.155,11.359,16.804,13.696,10.164,
Thailand,12.743,14.618,14.715,13.969,13.098,13.167,15.053,12.510,10.987,14.952,14.788,16.159,
Tunisia,10.953,13.072,13.682,14.929,14.836,16.430,17.956,21.449,26.013,24.037,29.845,30.626,
Turkey,11.587,13.037,14.859,15.203,12.153,10.422,12.785,11.878,12.683,15.641,14.592,16.512,
Ukraine,16.375,14.466,16.225,15.189,18.545,16.902,15.084,11.326,10.470,10.808,8.160,5.713,
United-Kingdom,249.715,229.281,203.549,196.475,175.419,190.272,193.894,198.548,187.889,215.851,209.249,210.634,
United-States,34.708,30.644,32.378,31.086,28.628,27.794,27.985,29.630,29.930,34.140,33.959,31.518,
Uruguay,8.484,14.917,15.480,16.188,16.788,12.268,11.251,10.577,11.028,13.161,12.527,12.585,
Venezuela,7.712,7.342,8.059,8.408,3.291,1.374,0.205,
Vietnam,6.247,6.314,5.694,5.827,5.012,4.948,7.783,6.316,7.297,7.675,9.077,
Yemen,0.422,0.436,0.746,0.950,1.126,1.104,1.776,
